country,iso3,subregion,year,drought_events,total_affected,drought_occurred
Mozambique,MOZ,Sub-Saharan Africa,2001,1,100000,1
Mozambique,MOZ,Sub-Saharan Africa,2002,1,600000,1
Mozambique,MOZ,Sub-Saharan Africa,2003,1,119500,1
Mozambique,MOZ,Sub-Saharan Africa,2005,1,1400000,1
Mozambique,MOZ,Sub-Saharan Africa,2007,1,520000,1
Mozambique,MOZ,Sub-Saharan Africa,2008,1,500000,1
Mozambique,MOZ,Sub-Saharan Africa,2010,1,460000,1
Mozambique,MOZ,Sub-Saharan Africa,2016,1,2300000,1
Mozambique,MOZ,Sub-Saharan Africa,2020,1,2700000,1
Mozambique,MOZ,Sub-Saharan Africa,2021,1,1562771,1
Mozambique,MOZ,Sub-Saharan Africa,2023,1,3300000,1
Namibia,NAM,Sub-Saharan Africa,2001,1,0,1
Namibia,NAM,Sub-Saharan Africa,2002,1,345000,1
Namibia,NAM,Sub-Saharan Africa,2013,1,780000,1
Namibia,NAM,Sub-Saharan Africa,2015,1,580000,1
Namibia,NAM,Sub-Saharan Africa,2018,1,556000,1
Niger,NER,Sub-Saharan Africa,2001,1,3584558,1
Niger,NER,Sub-Saharan Africa,2005,1,3000000,1
Niger,NER,Sub-Saharan Africa,2009,1,7900000,1
Niger,NER,Sub-Saharan Africa,2011,1,3000000,1
Niger,NER,Sub-Saharan Africa,2015,1,2588128,1
Niger,NER,Sub-Saharan Africa,2017,1,1131300,1
Niger,NER,Sub-Saharan Africa,2020,1,3700000,1
Niger,NER,Sub-Saharan Africa,2022,1,4400000,1
Nigeria,NGA,Sub-Saharan Africa,2022,1,19110398,1
Rwanda,RWA,Sub-Saharan Africa,2003,1,1000000,1
Senegal,SEN,Sub-Saharan Africa,2002,1,284000,1
Senegal,SEN,Sub-Saharan Africa,2011,1,850000,1
Senegal,SEN,Sub-Saharan Africa,2014,1,639702,1
Senegal,SEN,Sub-Saharan Africa,2018,1,320000,1
Somalia,SOM,Sub-Saharan Africa,2000,1,1200000,1
Somalia,SOM,Sub-Saharan Africa,2004,1,200000,1
