DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2007-9676-DJI,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,DJI,Djibouti,Sub-Saharan Africa,Africa,NO DATA: all country selected,,,No,No,No,,,Km2,,,,2007,1,,2007,1,,,,42750,,42750,,,,,,,66.09810297,"[{""adm1_code"":1093,""adm1_name"":""Ali Sabieh""},{""adm1_code"":1094,""adm1_name"":""Dikhil""},{""adm1_code"":1095,""adm1_name"":""Djibouti""},{""adm1_code"":1096,""adm1_name"":""Obock""},{""adm1_code"":1097,""adm1_name"":""Tadjourah""}]","[{""gid_1"":""DJI.1_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Ali Sabieh""},{""gid_1"":""DJI.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Dikhil""},{""gid_1"":""DJI.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Obock""},{""gid_1"":""DJI.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Tadjoura""},{""gid_1"":""DJI.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Arta""},{""gid_1"":""DJI.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus1"",""name_1"":""Arta""}]",2008-01-14,2025-12-20
2005-9637-MDG,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,MDG,Madagascar,Sub-Saharan Africa,Africa,Vangaindrano district (Atsimo Atsinanana province),"Locust infestation, repeated floods, pest infestation",Famine|Food shortage,No,No,No,,,Km2,,,,2005,11,,2006,12,,,,14000,,14000,,,,,,,62.25647853,"[{""adm2_code"":154550,""adm2_name"":""Vangaindrano""}]",,2007-02-13,2023-09-25
2020-9569-MLI,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,MLI,Mali,Sub-Saharan Africa,Africa,"Ménaka, Gao, Mopti, Kidal, Koulikoro and Ségou",,Food shortage,No,No,No,,,Km2,,,,2020,,,2020,12,,,,6800000,,6800000,,,,,,,82.50568385,"[{""adm1_code"":1927,""adm1_name"":""Gao""},{""adm1_code"":1930,""adm1_name"":""Koulikoro""},{""adm1_code"":1931,""adm1_name"":""Mopti""},{""adm1_code"":1932,""adm1_name"":""Segou""}]","[{""gid_1"":""MLI.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Gao""},{""gid_1"":""MLI.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Koulikoro""},{""gid_1"":""MLI.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Mopti""},{""gid_1"":""MLI.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Ségou""}]",2020-12-23,2025-12-20
2010-9082-DJI,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2011-000029,,DJI,Djibouti,Sub-Saharan Africa,Africa,"Ali Sabieh district (Ali Sabieh province), Dikhil, Yoboki districts (Dikhil province), Alaili Dadda, Obock districts (Obock province), Balha, Dorra districts (Tadjourah province)",,,No,No,No,,,Km2,,,,2010,11,,2011,7,,,,200258,,200258,,,,,,,69.51329329,"[{""adm2_code"":15272,""adm2_name"":""Ali Sabieh""},{""adm2_code"":15274,""adm2_name"":""Dikhil""},{""adm2_code"":15275,""adm2_name"":""Yoboki""},{""adm2_code"":15277,""adm2_name"":""Alaili Dadda""},{""adm2_code"":15278,""adm2_name"":""Obock""},{""adm2_code"":15279,""adm2_name"":""Balha""},{""adm2_code"":15280,""adm2_name"":""Dorra""}]",,2012-04-10,2023-09-25
2016-9452-KEN,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2016-000118,,KEN,Kenya,Sub-Saharan Africa,Africa,"Kilifi, Kwale, Tana River, Taita Taveta districts (Coast province), Wajir, Mandera districts (North Eastern province), Marsabit, Makueni, Kitui districts (Eastern province), Samburu district (Rift Valley province), Lamu, Baringo, West Poko, Garissa, Tana river, Isiolo, Laikipia, Turkana, Taita Tavetan Makueni, Narok, Embu (Mbeere), Meru, Tharaka Nithi, Nyeri",Poor performance in the long-rain time period,Food shortage,No,No,Yes,,,Km2,,,,2016,6,,2018,1,,,,3400000,,3400000,,,,,,,76.5112162,,,2016-11-28,2023-09-25
2017-9088-ZWE,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,ZWE,Zimbabwe,Sub-Saharan Africa,Africa,,Erratic rainfall and prolonged drought conditions exacerbated by El Niño disrupted the 2015/2016,Famine,Yes,No,No,,,Km2,,,,2017,2,,2020,3,,,,6900000,,6900000,,,,,,,78.14100176,,,2019-03-06,2023-09-25
2017-9468-MDG,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,MDG,Madagascar,Sub-Saharan Africa,Africa,"South, South East",,Food shortage,Yes,No,No,,,Km2,,,,2017,1,,2018,12,,,,1260000,,1260000,,,,,,,78.14100176,,,2019-01-03,2023-09-25
2017-9580-CPV,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,CPV,Cabo Verde,Sub-Saharan Africa,Africa,,Lack if rainfall,Food shortage,Yes,No,No,,,Km2,,,,2017,11,,2017,12,,,,70000,,70000,,,,,,,78.14100176,,,2021-08-03,2023-09-25
2018-9491-SEN,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,SEN,Senegal,Sub-Saharan Africa,Africa,Northern regions,,Food shortage,Yes,No,No,,,Km2,,,,2018,4,,2021,12,,,,320000,,320000,,,,,,,80.04959626,,,2021-08-03,2023-09-25
2019-9598-ZAF,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,ZAF,South Africa,Sub-Saharan Africa,Africa,,,,No,No,No,,,Km2,,,,2019,1,1,2019,12,31,,,750000,,750000,,,,,135000,165644,81.50030941,,,2019-12-06,2023-09-25
2019-9619-LSO,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,LSO,Lesotho,Sub-Saharan Africa,Africa,,,,No,No,Yes,,,Km2,,,,2019,,,2019,12,,,,433000,,433000,,,,,,,81.50030941,,,2019-12-13,2023-09-25
2020-9396-LSO,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,LSO,Lesotho,Sub-Saharan Africa,Africa,,Prolonged dry spells and negative economic impacts of COVID-19,Food shortage,No,No,No,,,Km2,,,,2020,9,,2022,12,,,,766000,,766000,,,,,,,82.50568385,,,2020-09-07,2023-09-25
2020-9424-MDG,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2020-000231,,MDG,Madagascar,Sub-Saharan Africa,Africa,"Betioky, Ampanihy, Tuléar II, Amboasary and Bekily districts, Anosy, Androy, Atsimo Andrefana.",Insufficient rainfall,Famine|Food shortage,No,No,No,,,Km2,,,,2020,1,,2024,2,,,,1680000,,1680000,,,,,,,82.50568385,"[{""adm2_code"":154532,""adm2_name"":""Bekily""},{""adm2_code"":154535,""adm2_name"":""Amboasary-Atsimo""},{""adm2_code"":154538,""adm2_name"":""Ampanihy Ouest""},{""adm2_code"":154542,""adm2_name"":""Betioky Atsimo""},{""adm2_code"":154546,""adm2_name"":""Toliary-II""}]",,2020-10-14,2024-02-08
2020-9586-MOZ,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,MOZ,Mozambique,Sub-Saharan Africa,Africa,,,Food shortage,No,No,No,,,Km2,,,,2020,10,,2020,12,,,,2700000,,2700000,,,,,,,82.50568385,,,2021-01-19,2023-09-25
